#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
OX366373.1_1198      -          K07494               -            1.8e-24   86.0   0.0     2e-24   85.8   0.0   1.0   1   0   0   1   1   1   1 # 1266563 # 1267030 # 1 # ID=1_1198;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.361
OW370493.1_928       -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 826296 # 826856 # 1 # ID=1_928;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_438       -          K07494               -            2.7e-18   65.7   0.0   2.9e-18   65.6   0.0   1.0   1   0   0   1   1   1   1 # 392746 # 393270 # 1 # ID=1_438;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.389
OW370493.1_270       -          K07494               -            3.2e-18   65.5   0.0   3.5e-18   65.3   0.0   1.0   1   0   0   1   1   1   1 # 236077 # 236637 # 1 # ID=1_270;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.374
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      /home/pedro/felipe/METABOLIC/kofam_database/profiles/K07494.hmm
# Target file:     /home/pedro/felipe//total.faa
# Option settings: hmmsearch --tblout metabolic_faa_test/intermediate_files/Hmmsearch_Outputs/K07494.hmm.total.hmmsearch_result.txt -T 62.43 --cpu 1 /home/pedro/felipe/METABOLIC/kofam_database/profiles/K07494.hmm /home/pedro/felipe//total.faa 
# Current dir:     /home/pedro/felipe
# Date:            Thu Apr 27 14:26:15 2023
# [ok]
